Date,Open,High,Low,Close,Volume
4/3/18 0:00,7052.75,7093.07,7001.28,7020,295.74
,,,,,
4/3/18 1:00,7030.78,7052.29,7020.2,7033.65,124.59
,,,,,
4/3/18 2:00,7032.95,7198.98,7024.27,7198.98,639.61
,,,,,
4/3/18 3:00,7198.98,7198.98,7135.32,7179.83,364.52
,,,,,
4/3/18 4:00,7184.88,7368.34,7178.96,7363.79,1935.61
,,,,,
4/3/18 5:00,7363.8,7394.65,7281.4,7331.42,899.71
,,,,,
4/3/18 6:00,7331.28,7366.5,7308.54,7330,360.62
,,,,,
4/3/18 7:00,7332.74,7444.66,7312.6,7392.38,915.63
,,,,,
4/3/18 8:00,7394.23,7412.92,7333.54,7353.35,513.73
,,,,,
4/3/18 9:00,7353.35,7387.11,7330,7360.01,174.88
,,,,,
4/3/18 10:00,7366.54,7396.23,7265.98,7313.31,932.54
,,,,,
4/3/18 11:00,7313.31,7350,7287.03,7298.1,1217.5
,,,,,
4/3/18 12:00,7300.01,7360,7289.61,7357.99,1378.61
,,,,,
4/3/18 13:00,7357.95,7433.71,7302.21,7332,1073.43
,,,,,
4/3/18 14:00,7332,7364.62,7265.98,7364.62,814.15
,,,,,
4/3/18 15:00,7355.7,7426.12,7337.44,7385.45,743.34
,,,,,
4/3/18 16:00,7382.38,7450,7359.81,7403.88,864.33
,,,,,
4/3/18 17:00,7403.71,7420,7363.81,7420,473.71
,,,,,
4/3/18 18:00,7420,7497.4,7404.72,7470.15,457.37
,,,,,
4/3/18 19:00,7468.14,7506.84,7441.95,7470,527.93
,,,,,
4/3/18 20:00,7470,7491.58,7380.18,7399.61,510.62
,,,,,
4/3/18 21:00,7395.14,7441.14,7361.52,7422.6,247.03
,,,,,
4/3/18 22:00,7422.1,7433.17,7367.24,7390.67,365.39
,,,,,
4/3/18 23:00,7395.68,7450,7365.8,7416.27,258.97
,,,,,
4/4/18 0:00,7415.53,7430,7377.01,7400,520.85
,,,,,
4/4/18 1:00,7399.99,7417.3,7298.16,7333.04,849.91
,,,,,
4/4/18 2:00,7333.04,7343.44,7251,7288.47,620.79
,,,,,
4/4/18 3:00,7288.45,7335.16,7269.1,7297.66,501.71
,,,,,
4/4/18 4:00,7297.66,7318.35,7275.07,7313.32,124.55
,,,,,
4/4/18 5:00,7312.59,7386.24,7312.1,7361.08,230.22
,,,,,
4/4/18 6:00,7361.07,7377.04,7329.31,7348.81,233.91
,,,,,
4/4/18 7:00,7351.01,7372,7302.56,7313.61,424.1
,,,,,
4/4/18 8:00,7311.71,7343.32,7289.86,7305.79,287.08
,,,,,
4/4/18 9:00,7307.73,7308.52,7051.5,7085,1548.67
,,,,,
4/4/18 10:00,7085.51,7138.41,7033.91,7090.84,892.07
,,,,,
4/4/18 11:00,7087.9,7099.42,6998.88,7076.08,909.03
,,,,,
4/4/18 12:00,7075.95,7080,7001,7054.81,607.29
,,,,,
4/4/18 13:00,7059.28,7120.92,7054.46,7080.18,588.48
,,,,,
4/4/18 14:00,7075,7077.37,6835,6865.56,1662.43
,,,,,
4/4/18 15:00,6865.56,6903.93,6766.76,6785.7,971.67
,,,,,
4/4/18 16:00,6779.32,6920,6777,6896.63,733.76
,,,,,
4/4/18 17:00,6887.74,6892,6784.42,6845.29,525.14
,,,,,
4/4/18 18:00,6845.28,6856.63,6734.99,6833.36,979.54
,,,,,
4/4/18 19:00,6833.38,6894.8,6770,6855.71,795.43
,,,,,
4/4/18 20:00,6859.5,6912.04,6826.93,6830,315.33
,,,,,
4/4/18 21:00,6827.24,6860.27,6750.23,6820.21,251.03
,,,,,
4/4/18 22:00,6821.77,6829.27,6710.39,6762.3,757.17
,,,,,
4/4/18 23:00,6761.32,6837.41,6710.38,6799.95,449.05
,,,,,
4/5/18 0:00,6799.37,6822.83,6666.73,6694.45,696.47
,,,,,
4/5/18 1:00,6697.47,6717.91,6578.95,6612.01,1205.88
,,,,,
4/5/18 2:00,6612.01,6657.24,6586.51,6610.01,231.37
,,,,,
4/5/18 3:00,6610.01,6798.28,6590,6776.64,499.26
,,,,,
4/5/18 4:00,6779.1,6860.46,6750.01,6792.73,468.8
,,,,,
4/5/18 5:00,6791.12,6860.46,6771.26,6858.82,250.74
,,,,,
4/5/18 6:00,6851.28,6860.46,6728.86,6750.99,276.89
,,,,,
4/5/18 7:00,6750.6,6830.9,6708.01,6792.3,279.36
,,,,,
4/5/18 8:00,6788.42,6914.55,6781.65,6878,441.22
,,,,,
4/5/18 9:00,6879.99,6900,6838.24,6855.3,415.32
,,,,,
4/5/18 10:00,6853.31,6855.9,6775.34,6799.47,236.32
,,,,,
4/5/18 11:00,6809.47,6834.74,6766.37,6798.01,266.95
,,,,,
4/5/18 12:00,6797.79,6801.9,6641.35,6676,822.97
,,,,,
4/5/18 13:00,6675.99,6860,6630.31,6850.09,718.36
,,,,,
4/5/18 14:00,6850.32,6928.7,6758.45,6769.58,988.71
,,,,,
4/5/18 15:00,6769.09,6779.78,6700,6749.06,643.85
,,,,,
4/5/18 16:00,6750.72,6766.74,6660,6717.7,582.44
,,,,,
4/5/18 17:00,6717.7,6809.26,6675.85,6696.52,686.69
,,,,,
4/5/18 18:00,6696.51,6762.26,6684.01,6701.07,396.17
,,,,,
4/5/18 19:00,6707.9,6810.02,6707.9,6772,511.54
,,,,,
4/5/18 20:00,6772,6789.95,6735.67,6752.4,278.53
,,,,,
4/5/18 21:00,6759.69,6760,6680,6717.24,344.08
,,,,,
4/5/18 22:00,6731.1,6843.35,6718.22,6836.76,372.97
,,,,,
4/5/18 23:00,6836.74,6843.35,6752.51,6771.69,279.66
,,,,,
4/6/18 0:00,6771.3,6850,6764.3,6812.6,548.38
,,,,,
4/6/18 1:00,6812.5,6832.63,6760.38,6803,137.9
,,,,,
4/6/18 2:00,6802.51,6824.06,6719.77,6778.49,282.68
,,,,,
4/6/18 3:00,6778.76,6792.17,6738.7,6769.39,282.16
,,,,,
4/6/18 4:00,6763.61,6814.98,6753.24,6795.03,293.74
,,,,,
4/6/18 5:00,6795.03,6847.7,6761.6,6766.56,437.07
,,,,,
4/6/18 6:00,6760.71,6768.14,6526,6577.26,1299.54
,,,,,
4/6/18 7:00,6577.9,6657.95,6549.99,6635.53,1137.35
,,,,,
4/6/18 8:00,6635.53,6635.98,6574.86,6608.47,308.14
,,,,,
4/6/18 9:00,6609.32,6612.4,6554.9,6579.92,225.66
,,,,,
4/6/18 10:00,6579.92,6600.71,6510,6516.18,371.71
,,,,,
4/6/18 11:00,6518.11,6666.04,6510,6622.34,500.74
,,,,,
4/6/18 12:00,6622.34,6624.4,6555,6610.28,249.68
,,,,,
4/6/18 13:00,6606.03,6645.67,6571.88,6627.74,216.76
,,,,,
4/6/18 14:00,6627,6635.99,6594.6,6595.43,156.71
,,,,,
4/6/18 15:00,6606.8,6610,6575.23,6603.09,167.28
,,,,,
4/6/18 16:00,6603.09,6640.87,6584.91,6618.83,310.84
